cod,categoria
4152500,6
4113900,6
1786300,3
4126000,3
4160300,3
4116401,6
4156901,3
4125100,3
4130300,9
4167000,9
4126400,3
4100502,9
4126800,9
4157000,9
3512300,3
4119300,6
3916002,6
3916001,6
1205200,6
4141200,6
3680200,6
4120000,6
4148900,3
4119801,3
4124400,6
3960700,6
4124900,6
3837703,6
4148100,6
4150900,3
4155700,3
4160100,3
3116200,6
4156000,6
4156200,3
4134800,6
4137900,6
3767701,3
4101201,6
4136700,6
4128800,6
4135800,3
4101100,6
4107500,6
4135201,6
4135202,9
3671400,3
3920601,3
4160200,6
4147300,6
4106100,3
2672602,3
3960501,3
4167200,3
1204406,3
3751700,3
3821600,6
3960201,3
1371000,3
3855801,3
3855802,6
4162000,3
4136800,6
4156300,6
4107402,3
1468900,6
4101604,6
4135200,6
4150501,3
4161300,6
4124800,3
3658103,9
4149700,6
4125502,3
1569700,3
4121102,3
1204404,3
4118300,3
4132900,3
4121400,6
4121500,3
4121401,9
4119900,9
3373900,9
1567100,9
1567104,9
4125300,9
4106200,9
4159900,9
4159800,9
4159700,9
4152600,9
1369602,9
4132800,9
4140100,9
4132700,9
4123900,9
4132600,9
4135100,5
4136600,5
4139900,5
4143600,1
4145800,1
4144500,1
259409,1
4135000,1
4164500,1
4132900,1
3307701,1
4125600,1
4161800,1
4145400,1
4145200,1
4145300,1

